sample_id,original_text,reference_summary,generated_summary,rouge-1-p,rouge-1-r,rouge-1-f,rouge-2-p,rouge-2-r,rouge-2-f,rouge-l-p,rouge-l-r,rouge-l-f,bleu
0,新华社受权于18日全文播发修改后的《中华人民共和国立法法》，修改后的立法法分为“总则”“法律”“行政法规”“地方性法规、自治条例和单行条例、规章”“适用与备案审查”“附则”等6章，共计105条。,修改后的立法法全文公布,新华社受权于18日全文播发修改后的《中华人民共和国立法法》，修改后的立法法分为“总则”“法律”“行政法规”“地方性法规、自治条例和单行条例、规章”“适用与备案审查”“附则”等6章，共计105条。,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04070938970579314
1,一辆小轿车，一名女司机，竟造成9死24伤。日前，深圳市交警局对事故进行通报：从目前证据看，事故系司机超速行驶且操作不当导致。目前24名伤员已有6名治愈出院，其余正接受治疗，预计事故赔偿费或超一千万元。,深圳机场9死24伤续：司机全责赔偿或超千万,日前，深圳市交警局对事故进行通报：从目前证据看，事故系司机超速行驶且操作不当导致。,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009849349468888718
2,1月18日，习近平总书记对政法工作作出重要指示：2014年，政法战线各项工作特别是改革工作取得新成效。新形势下，希望全国政法机关主动适应新形势，为公正司法和提高执法司法公信力提供有力制度保障。,孟建柱：主动适应形势新变化提高政法机关服务大局的能力,1月18日，习近平总书记对政法工作作出重要指示：2014年，政法战线各项工作特别是改革工作取得新成效。,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008517399705356638
3,针对央视3·15晚会曝光的电信行业乱象，工信部在公告中表示，将严查央视3·15晚会曝光通信违规违法行为。工信部称，已约谈三大运营商有关负责人，并连夜责成三大运营商和所在省通信管理局进行调查，依法依规严肃处理。,工信部约谈三大运营商严查通信违规,工信部称，已约谈三大运营商有关负责人，并连夜责成三大运营商和所在省通信管理局进行调查，依法依规严肃处理。,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01700463072175106
4,国家食药监管总局近日发布《食品召回管理办法》，明确：食用后已经或可能导致严重健康损害甚至死亡的，属一级召回，食品生产者应在知悉食品安全风险后24小时内启动召回，且自公告发布之日起10个工作日内完成召回。,食品一级召回限24小时内启动10工作日完成,国家食药监管总局近日发布《食品召回管理办法》，明确：食用后已经或可能导致严重健康损害甚至死亡的，属一级召回，食品生产者应在知悉食品安全风险后24小时内启动召回，且自公告发布之日起10个工作日内完成召回。,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.052496251190065436
5,人民检察院刑事诉讼涉案财物管理规定明确，不得查封、扣押、冻结与案件无关的财物，严禁在立案前查封、扣押、冻结财物，对查明确实与案件无关的，应当在三日内予以解除、退还。,最高检:诉讼未终结涉案财物不得上缴国库,人民检察院刑事诉讼涉案财物管理规定明确，不得查封、扣押、冻结与案件无关的财物，严禁在立案前查封、扣押、冻结财物，对查明确实与案件无关的，应当在三日内予以解除、退还。,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008952677771936644
6,聂树斌案的复查有了新进展，山东高院已正式通知聂树斌案申诉代理律师阅卷。这也是该案律师10年来首次获准阅卷。此前山东省高院复查聂树斌案合议庭成员提讯了王书金，其仍坚称石家庄西郊玉米地强奸杀人案是他所为。,聂树斌案律师10年来首获准阅卷,聂树斌案的复查有了新进展，山东高院已正式通知聂树斌案申诉代理律师阅卷。,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013679192123121896
7,近日北京市司法局、北京市检察院联合召开人民监督员选任管理方式改革工作会议，宣布了北京市第一届113名人民监督员的任命决定，并组织监督员向宪法集体宣誓。人民监督员以“第三方”去监督检察院办案，机制上做到了相互制衡。,北京市第一届人民监督员向宪法集体宣誓,近日北京市司法局、北京市检察院联合召开人民监督员选任管理方式改革工作会议，宣布了北京市第一届113名人民监督员的任命决定，并组织监督员向宪法集体宣誓。,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11610083023532244
8,据315晚会报道，公共免费WIFI存在隐患。黑客可利用轻易盗取用户个人信息，如账号、密码等。为了保证您个人信息安全，在公共场所尽量不要使用那些不需要密码免费wifi。,免费公共wifi存隐患黑客可轻易获取用户信息,黑客可利用轻易盗取用户个人信息，如账号、密码等。,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03592143420342892
9,3月12日，最高人民法院院长周强作最高人民法院工作报告。周强表示，去年各级法院再审改判刑事案件1317件，其中纠正一批重大冤假错案。对错案的发生，我们深感自责，要求各级法院深刻汲取教训……更多工作报告要点详见↓,一张图看懂最高法2014年工作报告,3月12日，最高人民法院院长周强作最高人民法院工作报告。,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03602080288207364
